'Name of school','URL','Street','Address','ZIP-Code','City','Region','Country','Country-Code','Latitude','Longitude'
'Centro Educacional Jardim dos Limôes','www.jardimdoslimoes.com.br','Rua das Cerejeiras, 449','Florianópolis, Santa Catarina 88040-510','88040-510','Florianópolis','SC','Brazil','BR','-27.60598','-48.52847'
'Centro Educacional Pomar','www.cepomar.com.br','Rua Eugênio Roncon, 80','Ribeirão Pires, São Paulo 09406-190','09406-190','Ribeirão Pires','SP','Brazil','BR','-23.70936','-46.3987'
'Centro Educacional Waldorf Alecrim Dourado','www.alecrimdourado.com.br','Rua Lord Cockrane 440','Sao Paulo, São Paulo 04213-000','04213-001','Sao Paulo','SP','Brazil','BR','-23.5930045','-46.6034292'
'Colégio Rudolf Steiner de Minas Gerais','www.polen.org.br','Rua Nossa Senhora de Fátima, 190','Nova Lima, Minas Gerais 34000-000','37200-000','Lavras','MG','Brazil','BR','-21.239905','-44.9911245'
'Colégio Waldorf  Brasilis','www.colegiobrasilis.org.br','Rue 01, n. 12-qd.33','Cuiaba, MT 78050-000','78050-000','Cuiabá','MT','Brazil','BR','-15.5705299377441','-56.0699081420898'
'Colégio Waldorf Micael de Sao Paulo','www.micael.com.br','Rua Pedro Alexandrino Soares 68, Jd. Boa Vista, Leite S/N','São Paulo, São Paulo 05584-010','05584-010','Sao Paulo','SP','Brazil','BR','-23.58167','-46.78947'
'Cordao Dourado','www.cordaodourado.com.br','Rua Marta Kateiva de Oliveria 430','Curitiba, Parana 82120-190','82120-190','Curitiba','PR','Brazil','BR','-25.39396','-49.27892'
'Curso de Fundamentação em Pedagogia Waldorf de Campinas',,'Casa de Cultura e Livraria Três Fontes, R. Germânia 839','Jardim Nossa Senhora Auxiliadora,  13075-240',,'Campinas','SP','Brazil','BR','-22.8755893707275','-47.0612297058105'
'Curso Regional de Pedagogia Waldorf',,'Casa Somé','Botucatu, Bairro Demétria 18603-970',,'Botucatu','SP','Brazil','BR','-22.8904991149902','-48.4562110900879'
'Escola Araucária',,'Estrada do Bom Jardim km 24','Camanclucaia, Minas Gerais 37653-000','37650-000','Camanducaia','MG','Brazil','BR','-22.77044','-46.0515'
'Escola Arcanjo Micael','www.arcanjomicael.org.br','Rua Fco Romero Ramos, 320','Poá, São Paulo 08556-470','08556-460','Poá','SP','Brazil','BR','-23.51374','-46.34563'
'Escola Cambará',,'Rua Jose Gonçalves da Motta Junior 110','São Vicente, São Paulo 11390-050','11350-370','São Vicente','SP','Brazil','BR','-23.9403855','-46.4158587'
'Escola Casa Amarela','www.escolacasaamarela.com','Elpideo da Rocha 200','Florianópolis, SC 88040-398','88048-398','Florianópolis','SC','Brazil','BR','-27.65723','-48.48322'
'Escola Cominitaria Municipal Vale de Luz','www.valedeluz.org.br','Rua Sebastiao Pereira da Silva, 197','Nova Friburgo, Rio de Janeiro 28633-540','28633-540','Nova Friburgo','RJ','Brazil','BR','-22.2263799','-42.524478'
'Escola Conviver',,'Rua 7 de Setembro 720','Capao Bonito, São Paulo 18300-240','18300-240','Capão Bonito','SP','Brazil','BR','-24.0064357','-48.3467648'
'Escola Cora Coralina','www.jardimescolacoracoralina.blogspot.com','Servidao Cecilia Jacinta de Jesus, 370','Florianopolis, Santa Catarina 88048-422','88048-422','Florianópolis','SC','Brazil','BR','-27.6484','-48.47561'
'Escola de Educação Infantil Cora Coralina',,'Rua sete de setembro, 421','Marilia, São Paulo 17501-560','17501-560','Marília','SP','Brazil','BR','-22.22347','-49.95158'
'Escola de Resiliência Horizonte Azul','www.monteazul.org.br','Rua Francisco Xavier de Abreu, 483','São Paulo, São Paulo 58361-80','05836-180','Sao Paulo','SP','Brazil','BR','-23.64752','-46.7390199'
'Escola Dendê da Serra - Jardim de Infância','www.dendeserra.org.br','Caixa Postal 415','Ilhés, Bahia 45653-970',45653,'Ilhéus','BA','Brazil','BR','-14.7925548553467','-39.0303497314453'
'Escola Flor do Ipê',,'Rua Dr. José Andrade Camara 550','Tres Corações, Minas Gerais 37410-000','37410-000','Três Corações','MG','Brazil','BR','-21.7039643','-45.2501366'
'Escola Infantil Arco-Íris','www.arcoirispoa.com.br','Av. Arlindo Pasqualini, 232','Porto Alegre, Rio Grande do Sul 91760-140','91760-140','Porto Alegre','RS','Brazil','BR','-30.12722','-51.23743'
